Headlines,Time,Description
Cramer Remix: Tuesday's the day to buy Facebook," 7:00  PM ET Fri, 12 Jan 2018",Jim Cramer offered his take on Facebook’s action in this market.
Cramer's lightning round: Estee Lauder's CEO makes this stock a beauty," 7:13  PM ET Fri, 12 Jan 2018","Jim Cramer zipped through his take on callers' favorite stocks, including that of a cosmetics company with a top CEO."
Cramer gets bullish on casino stocks like Wynn Resorts as Macau prospects improve," 7:06  PM ET Fri, 12 Jan 2018",Jim Cramer tracked the casino stocks' months-long rebound to gauge whether an improving outlook overseas could still drive their gains.
Cramer: 'This time it's different' can actually make you money," 7:06  PM ET Fri, 12 Jan 2018","Jim Cramer said the success of Facebook, Amazon, Netflix and Alphabet proves why ""this time it's different"" can help you, not hurt you."
,,
Cramer's game plan: JP Morgan set the benchmark. Now watch the banks," 7:05  PM ET Fri, 12 Jan 2018",Jim Cramer laid out the stocks and events he'll be watching as earnings season kicks into high gear with the big banks' reports.
Markets after the start of Q4 earnings season," 2:59  PM ET Fri, 12 Jan 2018","According to Kensho, this is the place to be after the start of earnings season. "
Cramer Remix: Boeing is a better bet than bitcoin," 7:00  PM ET Thu, 11 Jan 2018",Jim Cramer revealed what he’s recommending over the cryptocurrency.
"Cramer shares 5 reasons why the retail sector is back in action, according to industry executives"," 7:39  PM ET Thu, 11 Jan 2018",Jim Cramer relayed five factors driving the retail cohort back into Wall Street's good graces.
"Cramer's lightning round: People might be bailing on Regeneron, but it's a buy"," 7:04  PM ET Thu, 11 Jan 2018","Jim Cramer zoomed through his take on callers' favorite stocks, including a pharmaceutical name spooking investors."
Cramer prepares investors for the big banks' Friday earnings reports," 7:38  PM ET Thu, 11 Jan 2018","Jim Cramer told investors what to pay attention to in J.P. Morgan, Wells Fargo and PNC's earnings reports."
Cramer explains the nonsensical action in oil and airline stocks," 7:39  PM ET Thu, 11 Jan 2018","Jim Cramer pointed out the contradictory action in oil prices and airline stocks, two related sectors benefiting from the bull market."
Cramer Remix: Domino’s Pizza proves why stock-picking is still a winning strategy," 6:59  PM ET Wed, 10 Jan 2018",Jim Cramer dished on how Domino’s Pizza was able to outperform index funds despite the increasingly difficult environment.
Cramer's lightning round: Wait for General Dynamics—it's about to move higher," 7:03  PM ET Wed, 10 Jan 2018","Jim Cramer shared his take on callers' favorite stocks, including a play on aerospace and defense."
Cramer's charts show video game stocks like Take-Two have more room to run," 7:32  PM ET Wed, 10 Jan 2018",Jim Cramer took to the charts of video game stocks with technician Rob Moreno to see if the red-hot sector still has gains left.
'There's a rhythm to these things:' Domino's Pizza CEO discusses impending departure," 7:32  PM ET Wed, 10 Jan 2018",Jim Cramer spoke with Domino's Pizza CEO Patrick Doyle to discuss his recently announced departure from the company.
Cramer makes the bull case for China's move to cut US debt purchases," 7:33  PM ET Wed, 10 Jan 2018",Jim Cramer laid out the benefits of China potentially halting its purchases of U.S. sovereign debt.
"Three rate hikes by the Fed in 2018 would be problematic for markets, expert says","10:53  PM ET Tue,  9 Jan 2018","The latest FOMC projections indicate three rate hikes for 2018, but markets have only priced in two increases."
Cramer Remix: My warning to the market cynics," 7:01  PM ET Tue,  9 Jan 2018",Jim Cramer broke down the action in the market and explained why he thinks investors can’t afford to be too cynical.
,,
Cramer's lightning round: The analysts downgrading Edwards Lifesciences are 'knuckleheads'," 7:01  PM ET Tue,  9 Jan 2018","Jim Cramer flew through his take on callers' favorite stocks, including a biotechnology stock being targeted by Wall Street."
"Physical stores are 'critical' no matter where consumers choose to shop, Kohl's CEO says","11:59  AM ET Wed, 10 Jan 2018","Jim Cramer sat down with Kohl’s CEO Kevin Mansell, who discussed his company's partnership with Amazon and his outlook on retail."
Children's Place CEO: We have the 'dream customer'—millennial moms," 7:24  PM ET Tue,  9 Jan 2018","Jim Cramer sat down with Children's Place President and CEO Jane Elfers, who broke down the company's turnaround strategy."
Cramer lists 6 tailwinds for consumer-related stocks," 7:24  PM ET Tue,  9 Jan 2018",Jim Cramer made the bull case for consumer stocks in a defining era for traditional retailers.
Cramer Remix: Tesla’s stock is up for one simple reason," 7:02  PM ET Mon,  8 Jan 2018",Jim Cramer lifted the hood on Tesla’s move higher and why he thinks the stock rose despite fewer-than-expected Model 3 deliveries in Q4.
Cramer's lightning round: Mercadolibre is even better than eBay was," 7:02  PM ET Mon,  8 Jan 2018","Jim Cramer rattled off his take on callers' favorite stocks, including a Latin American e-commerce play."
,,
"'Best days are still ahead' for top opioid addiction treatment Vivitrol, CEO says"," 7:41  PM ET Mon,  8 Jan 2018","Jim Cramer spoke to Alkermes CEO Richard Pops, who said 2018 will be a year of milestones for his company's drugs."
"Cramer: Marijuana, bitcoin and Micron are all speculative investments"," 7:41  PM ET Mon,  8 Jan 2018","Jim Cramer gauged the speculative potential of the cannabis, cryptocurrency and chipmaking markets for individual investors."
Cramer says 4 things—including the tax overhaul—will continue to push stocks higher," 7:42  PM ET Mon,  8 Jan 2018","Jim Cramer explained how index funds, stock shortages, tax cuts and low valuations all coalesce to drive stocks higher."
Markets after Q1 first-week streak," 3:37  PM ET Mon,  8 Jan 2018","Our data partners at Kensho say the rally is due to roll at least until the end of the quarter. Since 1980 when up the first week of the year, the run continues. The Nasdaq up an average of 6.96% in Q1. Almost 4% for the S&P and Dow after a good first week. "
Last year's S&P 500 winners could still have room to run," 7:26  PM ET Fri,  5 Jan 2018",Jim Cramer ran through the S&P 500's worst performers for 2017 and found some redeemable players in the house of pain.
Last year's S&P 500 losers could be prime for speculation," 7:24  PM ET Fri,  5 Jan 2018",Jim Cramer ran through the S&P 500's worst performers for 2017 and found some redeemable players in the house of pain.
Cramer Remix: Common sense can make you money in this market," 7:18  PM ET Fri,  5 Jan 2018","Jim Cramer explained how observations, and not just knowledge of stocks, could help you find your next play."
Cramer Remix: Common sense can make you money in this market," 6:59  PM ET Fri,  5 Jan 2018","Jim Cramer explained how observations, and not just knowledge of stocks, could help you find your next play."
Cramer says the S&P 500's biggest 2017 losers could be prime for speculation," 6:54  PM ET Fri,  5 Jan 2018",Jim Cramer ran through the S&P 500's worst performers for 2017 and found some redeemable players in the house of pain.
Cramer's lightning round: Buy B&G Foods on its millennial advantage," 7:03  PM ET Fri,  5 Jan 2018","Jim Cramer zipped through his take on callers' favorite stocks, including a food product play."
Cramer says the S&P 500's biggest 2017 losers could be prime for speculation," 7:43  PM ET Fri,  5 Jan 2018",Jim Cramer ran through the S&P 500's worst performers for 2017 and found some redeemable players in the house of pain.
Cramer: The S&P 500's winners for 2017 could still have room to run this year," 7:45  PM ET Fri,  5 Jan 2018",Jim Cramer reviewed the S&P 500's best performers for 2017 and noted the names that have more room to run.
Cramer's game plan: Feeding the beast with a bank earnings kicker," 7:13  PM ET Fri,  5 Jan 2018","Jim Cramer looked ahead to the stocks and events he'll watch next week, including two major conferences and earnings from the banks."
Cramer: The S&P 500's winners for 2017 could still have room to run this year," 5:18  PM ET Fri,  5 Jan 2018",Jim Cramer reviewed the S&P 500's best performers for 2017 and noted the names that have more room to run.
,,
Under Armour cools off after gains," 2:12  PM ET Fri,  5 Jan 2018","Our data partners at Kensho, show after a move of 10% or more in a week Under Armour cools off. Down three percent on average a week later."
Stocks tend to be cold in January,"12:00  PM ET Fri,  5 Jan 2018","January tends to be a tough month for stocks  with the Dow, S&P, Dow and Russel 2K all averaging losses of more than one percent. "
"Cramer Remix: Even at Dow 25K, this market is a beast, and it's a beauty"," 7:21  PM ET Thu,  4 Jan 2018",Jim Cramer dished on what’s behind the strength of this market.
"Cramer Remix: Even at Dow 25K, this market is a beast, and it's a beauty"," 7:06  PM ET Thu,  4 Jan 2018",Jim Cramer dished on what’s behind the strength of this market.
Cramer: The US-China 'trade war' could explode in 2018," 7:30  PM ET Thu,  4 Jan 2018",Jim Cramer made the case for President Donald Trump and the U.S. Department of Commerce to prohibit Chinese steel dumping.
"Cramer's lightning round: Stop talking, start buying Raytheon"," 7:21  PM ET Thu,  4 Jan 2018","Jim Cramer zoomed through his take on callers' favorite stocks, including a defense play fresh off some momentary weakness."
,,
Dominion CEO bullish on latest deal: 'We're investing for the long term in South Carolina'," 7:36  PM ET Thu,  4 Jan 2018",Jim Cramer spoke to Dominion Energy CEO Tom Farrell about his company's acquisition of struggling South Carolinian utility Scana.
Cramer pinpoints stocks that are feeding the market in 'beast mode'," 7:27  PM ET Thu,  4 Jan 2018","Jim Cramer zoomed in on the stocks that drove the ""beast"" market to new highs on Thursday, including Dow 25,000."
"Tax cuts may be good for short-term profit pop, but long term outlook not so rosy"," 7:58  PM ET Thu,  4 Jan 2018",Concern that tax reform offers only a one-time lift to stocks and it may all be discounted before this month is over.
"Cramer Remix: I've issued more mea culpas on GE than any other stock, but I'm not giving up just yet"," 7:21  PM ET Wed,  3 Jan 2018",Jim Cramer revealed why he hasn’t given up on GE yet.
Cramer's lightning round: Don't sell the stock of Ametek. It's a winner," 7:19  PM ET Wed,  3 Jan 2018","Jim Cramer flew through his take on callers' favorite stocks, including an under-the-radar industrial play."
Cramer dubs Children's Place a 'fabulous' buy on weakness," 7:32  PM ET Wed,  3 Jan 2018","Jim Cramer tracked Children's Place's positive drivers and anointed it one of his few ""buys"" in brick-and-mortar retail."
Cramer reviews the Dow's biggest winners and losers for 2017," 7:31  PM ET Wed,  3 Jan 2018",Jim Cramer reviewed the Dow Jones industrial average's best and worst performers for the 2017 calendar year.
Cramer: Analyst recommendations are already boosting stocks in 2018—and they won't stop," 7:31  PM ET Wed,  3 Jan 2018","Jim Cramer highlighted the flurry of bullish, stock-moving analyst notes issued after the Republican tax bill became law."
Markets after S&P gains 15% in a year," 2:02  PM ET Wed,  3 Jan 2018","According to our data partners at Kensho, after the S&P finished 15% up or more in a year the index is positive 77% of the time the following year, returning an average of 8.8% since 1980. The Nasdaq and Dow also have good track records after a big year. "
Cramer Remix: My prediction for Apple in 2018," 7:35  PM ET Tue,  2 Jan 2018",Jim Cramer dished out his take on whether Apple can continue to stay juicy this year after it had a big run last year.
Cramer Remix: Apple's stock won't slow down in 2018," 7:02  PM ET Tue,  2 Jan 2018",Jim Cramer dished out his take on whether Apple can continue to stay juicy this year after it had a big run last year.
Cramer shares his top energy stock picks as oil prices rise," 7:22  PM ET Tue,  2 Jan 2018",Jim Cramer revisited the oil sector and hand-picked the best investment guidelines for the energy stock comeback.
Cramer's lightning round: Buy Becton Dickinson's stock hand over fist," 7:07  PM ET Tue,  2 Jan 2018","Jim Cramer rattled off his take on callers' favorite stocks, including one of his favorite biotechnology plays."
Cramer's S&P 500 and Dow charts indicate a strong start to 2018," 7:21  PM ET Tue,  2 Jan 2018",Jim Cramer warned investors about getting too cynical after a robust year for the averages and healthy momentum ahead.
,,
Cramer reflects on how Trump's actions are fueling the 'beast' market rally," 7:20  PM ET Tue,  2 Jan 2018","Jim Cramer examined the notion that investors are ""bored"" with the market rally and explained how the president is driving stocks higher."
The major indexes trade lower in January," 1:19  PM ET Tue,  2 Jan 2018","Our data partners at Kensho say beware of January. Since 2012 on average the Nasdaq, S&P 500, Dow and Russell all trade lower in the first month of the year. "
S&P tends to start new year bullish after this happens,"10:13  AM ET Wed, 27 Dec 2017","The S&P is on track to end the year up 20 percent. After previous double-digit gains of 10 percent or more, the bullish trend tends to carry through to the following quarter.  "
Markets lack Christmas cheer,"10:15  AM ET Tue, 26 Dec 2017","According to Kensho, here's how markets have fared during the week of Christmas over the past five years."
Cramer Remix: The biggest mistake you can make with taxes on your stock market winnings,"11:12  AM ET Thu, 20 Sept 2018",Jim Cramer revealed his top rule when it comes to taxes and selling stocks.
Cramer says owning too many stocks and too little cash can set you up for failure," 7:07  PM ET Fri, 22 Dec 2017","Jim Cramer broke down why owning fewer stocks can help make you more money, and why investors shouldn't be ashamed of having cash on hand."
,,
Cramer: I helped investors through the 2010 flash crash by following one key rule," 7:07  PM ET Fri, 22 Dec 2017","Jim Cramer built on his ""nobody ever made a dime panicking"" mantra by explaining how investors can apply it to their portfolios."
Cramer: Never buy a stock all at once — you'll almost definitely get burned," 6:52  PM ET Fri, 22 Dec 2017",Jim Cramer doubled down on his key investing rule of never buying a desired stock all in one go.
"Cramer's top 2 investing rules for bulls, bears and everyone in between"," 6:51  PM ET Fri, 22 Dec 2017",Jim Cramer shared the two most important investing rules he has learned after nearly 40 years in the business.
"Cramer Remix: If you sell Amazon now, you'll have seller's remorse"," 7:00  PM ET Thu, 21 Dec 2017","Jim Cramer flagged a holiday deal in the stock of Amazon, which is declining on news of the tax bill's passage."
Cramer's lightning round: Alphabet will trump advertisers like Interpublic," 7:04  PM ET Thu, 21 Dec 2017","Jim Cramer zoomed through his take on callers' favorite stocks, including a name in the advertising space."
Cramer's fireside chat: Bitcoin has 'first-mover advantage' over Litecoin," 6:53  PM ET Thu, 21 Dec 2017",Jim Cramer shared his take on the future of cryptocurrencies and what lies ahead for Litecoin.
"Cryptocurrencies could be 'just mining the public,' gold producer CEO says"," 6:46  PM ET Thu, 21 Dec 2017",Jim Cramer spoke to Agnico Eagle Mines Vice Chairman and CEO Sean Boyd to hear about the state of gold in the era of bitcoin.
Cramer: Amazon and Walmart exemplify the market's central theme: a stock shortage," 6:45  PM ET Thu, 21 Dec 2017",Jim Cramer contrasted the stocks of Amazon and Walmart in the context of tax reform's effect on the stock market.
EA could miss its guidance due to 'Star Wars' game controversy," 4:05  PM ET Thu, 21 Dec 2017","Cowen lowers its price target and profit forecasts for Electronic Arts shares, forecasting poor sales for the company's ""Star Wars"" game."
Cramer Remix: Buying the iPhone X made me even more bullish on Apple," 7:00  PM ET Wed, 20 Dec 2017",Jim Cramer reinforced his bull case on Apple and why it’s on his shopping list this holiday season.
Cramer's lightning round: I am 'betwixt' by the bitcoin mania in Square," 7:03  PM ET Wed, 20 Dec 2017","Jim Cramer zipped through his take on callers' favorite stocks, including a fintech play that's been associated with bitcoin."
Cramer: Buy Hess because activists could turn the oil play around," 7:01  PM ET Wed, 20 Dec 2017",Jim Cramer tapped into Hess' business to see if Elliott Management can still improve the oil and gas company's prospects.
Cramer says Zimmer Biomet is becoming a buy thanks to its new CEO," 6:46  PM ET Wed, 20 Dec 2017",Jim Cramer looked at Zimmer Biomet's newly appointed CEO and explained why he could drive gains for the stock.
Cramer lists the winners and losers of the GOP tax overhaul," 6:43  PM ET Wed, 20 Dec 2017",Jim Cramer found stocks that could be the biggest beneficiaries of the Republican tax plan.
,,
The S&P 500 up 15% or more next year?,"10:10  PM ET Wed, 20 Dec 2017",Robert Lutts of Cabot Wealth Management says the U.S. tax cuts will add fuel to already strong equity markets. 
Euro 50 tends to bounce back,"10:42  AM ET Wed, 20 Dec 2017","According to Kensho, here's what tends to happen when the Euro 50 underperforms."
Cramer Remix: I’m ashamed of my GE recommendation," 6:59  PM ET Tue, 19 Dec 2017",Jim Cramer revealed why he regrets recommending GE.
"Cramer's lightning round: Allergan drives me crazy, but I'm sticking with it"," 6:59  PM ET Tue, 19 Dec 2017","Jim Cramer flew through his take on callers' favorite stocks, including a struggling pharmaceutical play."
Cramer's charts reveal bitcoin is not replacing gold anytime soon," 6:57  PM ET Tue, 19 Dec 2017",Jim Cramer took to the charts with technician Carley Garner to determine why gold can hold its own against bitcoin.
Cramer says 'broken stock' Penumbra is giving investors a gift," 6:53  PM ET Tue, 19 Dec 2017","Jim Cramer examined the dip in shares of Penumbra, a medical device maker focused on treating strokes and aneurysms by removing blood clots."
,,
Cramer reviews the bear case for FANG and explains why it's worth holding on,"10:48  AM ET Wed, 20 Dec 2017","Jim Cramer looked at Facebook, Amazon, Apple, Netflix, Nvidia and Alphabet to see if their bear cases held any weight."
Cramer Remix: Analysts drove Twitter’s huge move higher," 7:01  PM ET Mon, 18 Dec 2017",Jim Cramer examined the power of analyst upgrades and what they could mean for your stocks.
"Cramer: There's a shortage of industrial stocks, which is why they can keep climbing"," 1:17  PM ET Tue, 19 Dec 2017",Jim Cramer broke down the industrial sector to find that there are too few companies in it enjoying too many stock gains.
Cramer's lightning round: Roku's one of the most amazing short squeezes I've ever seen," 7:07  PM ET Mon, 18 Dec 2017","Jim Cramer rattled off his take on callers' favorite stocks, including that of a device maker taking on Amazon."
Cramer digs into frozen food plays to find Conagra Brands the winner," 6:56  PM ET Mon, 18 Dec 2017",Jim Cramer tracked Conagra Brands' comeback to see if it means good things for the frozen food space as a whole.
Cramer on why Campbell and Hershey's deals mean the market still has upside," 6:42  PM ET Mon, 18 Dec 2017",Jim Cramer zoomed in on the M&A action in the pantry plays to make a case for buying individual stocks.
After the Euro Stoxx 50 under-performs," 4:07  PM ET Mon, 18 Dec 2017",Buy Europe after the Euro Stoxx 50 under performs the S&P 500 for the year. 
Cramer Remix: Lending is my biggest worry in this market," 7:33  PM ET Fri, 15 Dec 2017",Jim Cramer highlighted his one big fear going in to 2018.
Cramer's fireside chat: Tax reform will 'absolutely' help mid-cap stocks," 7:23  PM ET Fri, 15 Dec 2017",Jim Cramer took calls on tax reform and the bond market in an economically-driven fireside chat.
Cramer's lightning round: Buy Cisco when it goes below $38," 7:04  PM ET Fri, 15 Dec 2017","Jim Cramer shared his take on callers' favorite stocks at lightning speed, including one high-profile tech name."
"Cramer on winter apparel plays: Columbia's steadier, but Canada Goose has momentum"," 7:22  PM ET Fri, 15 Dec 2017",Jim Cramer looked at Columbia Sportswear and Canada Goose to see which winter wear play could heat up your portfolio.
Cramer's game plan: Strong earnings will drive the market higher," 7:38  AM ET Mon, 18 Dec 2017","Jim Cramer broke down the week ahead, in which data from Europe and a trickle of earnings reports could push stocks even higher."
"Cramer's lightning round: Buy Regeneron, it's not getting the credit it deserves","10:54  AM ET Fri, 15 Dec 2017","Jim Cramer zoomed through his take on callers' favorite stocks, including a pharma play."
Cramer Remix: How to play Walt Disney Co. and 21st Century Fox," 7:00  PM ET Thu, 14 Dec 2017",Jim Cramer breaks down the mega merger of the day and what it means for your portfolio.
,,
Cramer: Selling on a decline isn't always the smartest move for investors,"10:54  AM ET Fri, 15 Dec 2017","Jim Cramer explained the ""stupid"" market action after the Federal Reserve's Wednesday meeting and found a handful of buying opportunities."
"Top drone maker will sell $16,500 drone for farmers on Amazon, CEO says","12:09  PM ET Fri, 15 Dec 2017",Jim Cramer sat down with AeroVironment President and CEO Wahid Nawabi to hear about his defense and commercial drone company's new products.
Cramer says Rubio's tax bill opposition shouldn't scare you out of stocks,"10:53  AM ET Fri, 15 Dec 2017","Jim Cramer pointed to the Disney-Fox deal as an example of why tax reform isn't the be-all, end-all for the stock market."
After retail sales tops expectations," 3:45  PM ET Thu, 14 Dec 2017","Our data partners at Kensho jumping into retail today. After retail sales top expectations as they did today, the numbers show the retail index rises 1.12% in the next two weeks beating the S&P. "
Cramer Remix: Investors have my blessing to get a taste of Smucker," 7:02  PM ET Wed, 13 Dec 2017",Jim Cramer makes a case for JM Smucker’s bottom and provides his outlook on the stock.
Cramer says Fox deal will give Disney the scale it desperately needs,"10:59  AM ET Thu, 14 Dec 2017",Jim Cramer broke down why Disney needs scale and optionality and how a deal with Fox will give the entertainment giant both.
,,
Cramer's lightning round: I'd rather you own Teva sandals than Teva Pharmaceuticals," 7:09  PM ET Wed, 13 Dec 2017","Jim Cramer zipped through his take on callers' favorite stocks, including a downtrodden pharmaceutical play."
Just Capital's Dan Hesse: Companies that do good things have higher returns,"11:59  AM ET Thu, 14 Dec 2017",Jim Cramer sat down with Just Capital's Dan Hesse to get an inside look at consumers' opinions about corporate America.
"Cramer: Bull markets 'die on euphoria,' and we're one step away"," 7:06  PM ET Wed, 13 Dec 2017",Jim Cramer told investors to watch for signs of euphoria in the stock market going into 2018.
Cramer Remix: What being young and broke taught me about the stock market," 7:10  PM ET Tue, 12 Dec 2017","Jim Cramer reflected on the days when he ate chicken liver to get by, and how it relates directly to the mood of the stock market."
Cramer's lightning round: It's OK to buy into speculative stock Puma right now," 7:11  PM ET Tue, 12 Dec 2017","Jim Cramer flew through his take on callers' favorite stocks, including one volatile biotechnology name."
"Companies must have 'a culture of security' to prevent cyberattacks, McAfee CEO says"," 7:29  PM ET Tue, 12 Dec 2017",Jim Cramer sat down with McAfee CEO Chris Young to talk about cybersecurity trends and the rise of ransomware.
"Cramer's charts predict full speed ahead for industrial stocks like Caterpillar, Honeywell","11:33  AM ET Wed, 13 Dec 2017",Jim Cramer took to the charts with technician Bob Lang to determine whether the red-hot industrial sector can keep running.
"Cramer finds value-creating, investment-worthy CEOs across industries","11:33  AM ET Wed, 13 Dec 2017",Jim Cramer pointed to CEOs like Disney's Bob Iger and Valeant's Joe Papa as leaders that investors should trust.
Cramer Remix: Acadia is the most volatile stock I’ve ever covered — and it’s worth speculating on," 7:03  PM ET Mon, 11 Dec 2017",Jim Cramer dove into one “wild trader” in the biotech space and why he thinks it’s worth speculating on in a pullback.
Cramer says wait to buy bitcoin if you don't know the risk," 7:21  PM ET Mon, 11 Dec 2017",Jim Cramer monitored bitcoin futures on their second day of trading on a public exchange and suggested a playbook for aspiring investors.
Cramer's lightning round: Buy Wynn Resorts on a pullback," 7:08  PM ET Mon, 11 Dec 2017","Jim Cramer rattled off his take on callers' favorite stocks, including that of a hotel operator."
"Topgolf CEO sees 'real growth' in golf, says he's 'winning' with millennials","12:48  PM ET Tue, 12 Dec 2017",Jim Cramer sat down with TopGolf co-chairman and CEO Erik Anderson for more on his private entertainment play.
Cramer: Auto parts stocks like O'Reilly wrongly sold off and are buys," 7:20  PM ET Mon, 11 Dec 2017",Jim Cramer tracked the recent weakness in three auto parts stocks and argued that the market overreacted to their shortfalls.
Cramer tackles the question of why the market has been so positive for 2017," 7:18  PM ET Mon, 11 Dec 2017",Jim Cramer did his best to analyze the drivers behind the stock market's seemingly endless rally.
,,
Cramer Remix: Bitcoin is the least transparent bubble I’ve ever seen," 7:01  PM ET Fri,  8 Dec 2017",Jim Cramer provided his thoughts on bitcoin as investors brace for its trading debut on the futures exchange on Sunday.
Cramer cheers the bond market's unusual reaction to Friday's jobs report," 7:03  PM ET Fri,  8 Dec 2017",Jim Cramer noted the bond market's unusual reaction to the nonfarm payrolls number and explained why it's good for the economy.
Cramer's lightning round: Auto stocks like GM are not my cup of tea," 7:07  PM ET Fri,  8 Dec 2017","Jim Cramer raced through his take on callers' favorite stocks, including one in the auto sector."
Cramer: There's a bull market in protein. Tyson Foods is the best way to play it,"12:10  PM ET Mon, 11 Dec 2017",Jim Cramer laid out his theory on the protein bull market and shared a menu of top stocks to buy on the trend.
Cramer's game plan: Be ready to play this unstable market," 7:02  PM ET Fri,  8 Dec 2017","Jim Cramer asked investors to be prepared for market volatility going into a week with bitcoin, tech and taxes front and center."
"Cramer Remix: Yes, Allergan is the anti-bitcoin"," 9:32  AM ET Mon,  7 Oct 2019","Jim Cramer pointed to the drug player for its lack of volatility, and said none of its redeeming qualities really matter anymore."
,,
Cramer's lightning round: Energy Transfer Partners is worst in show," 7:06  PM ET Thu,  7 Dec 2017","Jim Cramer zoomed through his take on callers' favorite stocks, including a bedraggled energy stock."
Boeing CEO: Over 80% of the world has never taken a flight. We’re leveraging that for growth," 7:08  PM ET Thu,  7 Dec 2017",Jim Cramer spoke to Boeing CEO Dennis Muilenburg about his company's sky-high growth prospects.
Boeing CEO says 'tax reform is the single most important thing' for US economy," 7:08  PM ET Thu,  7 Dec 2017","Jim Cramer sat down with Boeing CEO Dennis Muilenburg to talk tax reform, Trump and manufacturing."
Cramer's 5 reasons for being suspicious of bitcoin," 4:12  PM ET Fri,  8 Dec 2017",Jim Cramer pushed back against bitcoin buyers and argued that derivative trading could signal a top for the cryptocurrency.
Cramer: Don't let sellers freak you out. The market's often wrong," 7:06  PM ET Thu,  7 Dec 2017",Jim Cramer used Salesforce's stock to highlight the market's irrationality after a recent tech sell-off.
Cramer Remix: Cloud stocks aren't finished giving investors big profits," 7:00  PM ET Wed,  6 Dec 2017",Jim Cramer explained why the recent sell-off in cloud stocks is a perfect buying opportunity.
Cramer's lightning round: Ford is OK to buy for the first time in a while," 7:04  PM ET Wed,  6 Dec 2017","Jim Cramer shared his take on callers' favorite stocks at lightning speed, including a troubled auto stock."
Outgoing Panera Bread CEO: We went private because the market can't think long-term,"10:58  AM ET Thu,  7 Dec 2017","Jim Cramer spoke to Ron Shaich, the outgoing CEO of Panera Bread, about why he took his company private and his biggest market worry."
Cramer investigates Autodesk's weakness to see if the software stock is worth buying," 7:22  PM ET Wed,  6 Dec 2017",Jim Cramer surveyed Autodesk's recent pullback after earnings to see if it's a buying opportunity or the beginnings of a broken stock.
Cramer's top 10 worries for 2018," 7:21  PM ET Wed,  6 Dec 2017",Jim Cramer discussed the top 10 factors that weigh on him as he tries to make you money going into the new year.
"Cramer Remix: In this environment, it’s not hard to find individual stocks worth owning"," 7:02  PM ET Tue,  5 Dec 2017",Jim Cramer revealed why finding stocks worth buying could be easier than you think.
"Cramer: If you think tech stocks are way too expensive, you're wrong"," 1:24  PM ET Fri, 27 April 2018",Jim Cramer explained why technology stocks like Alphabet and Facebook are so difficult to accurately value.
Cramer's lightning round: Don't fly into Trivago's stock just yet," 7:06  PM ET Tue,  5 Dec 2017","Jim Cramer zipped through his take on callers' favorite stocks, including the struggling travel cohort."
"Cramer's charts suggest Netflix, Apple and Facebook's stocks won't go much lower"," 8:05  PM ET Tue,  5 Dec 2017","Jim Cramer took to the charts with technician Carolyn Boroden to evaluate the declines in shares of Netflix, Apple and Facebook."
,,
"Cramer on millennials: Brand loyalty is dying, but FANG isn't"," 8:05  PM ET Tue,  5 Dec 2017",Jim Cramer described how younger generations are vetoing customer loyalty and changing the fabric of the stock market.
Stock performance in December," 9:46  AM ET Tue,  5 Dec 2017",Since 2010 stocks tend to end the year on a strong note. The Dow and the S&P gaining well over one percent a piece.
Cramer Remix: Wal-Mart is Amazon’s only long-term challenger in retail," 7:00  PM ET Mon,  4 Dec 2017",Jim Cramer broke down his view on investing in Wal-Mart vs. Target and their ability to stand up to Amazon.
Cramer's lightning round: CenturyLink's 14% yield is a 'total red flag'," 7:02  PM ET Mon,  4 Dec 2017","Jim Cramer flew through his take on callers' favorite stocks, including a high-yielding telecom name."
Cramer says the action in grocery stocks proves Amazon shouldn't scare you out of entire industries," 7:04  PM ET Mon,  4 Dec 2017",Jim Cramer analyzed the supermarket stocks' performance since Amazon bought Whole Foods and spotted a surprisingly positive pattern.
Cramer: Disney-Fox and CVS-Aetna could revamp how investors see their companies," 7:03  PM ET Mon,  4 Dec 2017","Jim Cramer explained how news of potential Disney-Fox and CVS-Aetna mergers ""changed the narrative"" in the stock market."
,,
Cramer: 'This is not a rally.' It's 100% about tax reform," 7:02  PM ET Mon,  4 Dec 2017",Jim Cramer said that tax reform is fueling the stock market's rotation into nearly every sector but tech.
Cramer Remix: Bitcoin has taken away the luster of gold," 7:00  PM ET Fri,  1 Dec 2017",Jim Cramer weighed in on how gold could be trumped by bitcoin in the market.
Cramer's lightning round: Under Armour might just turn around," 7:02  PM ET Fri,  1 Dec 2017","Jim Cramer zoomed through his take on callers' favorite stocks, including that of a struggling retailer."
"Cramer finds a 'genius,' under-the-radar booze maker to buy on a pullback"," 8:00  PM ET Fri,  1 Dec 2017","Jim Cramer tracked the wildfire rise of whiskey and gin producer MGP Ingredients, but said it's run too much to recommend buying here."
Cramer to investors: Don't let this Washington-led decline freak you out," 7:59  PM ET Fri,  1 Dec 2017",Jim Cramer urged investors to look at the big picture of the stock market instead of focusing on turmoil at the White House.
Cramer's game plan: Play the political roller-coaster ride to your benefit," 7:59  PM ET Fri,  1 Dec 2017",Jim Cramer commented on Friday's market churn and looked ahead to the stocks and events he'll watch next week.
Cramer Remix: Amazon may not be as powerful as it seems," 7:02  PM ET Thu, 30 Nov 2017","Jim Cramer revealed why Amazon, the ‘Death Star,’ isn't able to destroy whole businesses yet."
